Country,ISO3,Year,Dependency_Ratio,Health_Expenditure,Education_perGDP,RD_Expenditure,Contribution_revenue,GDP_percapita,income_level,edu_index,health_index,gdp_index,demo_index,PSP,gov_spending,PSE
Andorra,AND,2002,39.5564042303173,5.99621153,1.65971,,,26528.130158144,High income,0.1269589214160853,0.29289675499671447,0.3649486636783536,0.8306246526193736,0.4038572481776317,7.6559215300000005,0.05275096493545587
Andorra,AND,2004,37.3267802372418,5.28846931,1.54412,,,39021.1278101878,High income,0.11013479387933028,0.24382338155150535,0.5375283531430212,0.860400356932084,0.4379717213764852,6.8325893099999995,0.06410040198603496
Andorra,AND,2005,36.7306571534535,5.59476948,1.64497,,,40829.801876968,High income,0.12481351402883928,0.26506159824110886,0.5625135822674867,0.8683613336402588,0.45518750704442346,7.23973948,0.06287346503308479
Andorra,AND,2006,36.5890914083685,4.96530008,2.2449,,,43467.2109930745,High income,0.21213334129006806,0.22141549932880752,0.5989470515537376,0.8702518854909522,0.4756869444158913,7.21020008,0.06597416703253141
Andorra,AND,2007,36.3435022980084,4.92347288,2.10469,,,48336.2283329823,High income,0.19172577210650185,0.21851528828054279,0.6662082104783854,0.8735316262702112,0.48749522428391034,7.02816288,0.06936310848332393
Andorra,AND,2008,36.443115338105,5.67066383,2.87393,,,49132.515707808,High income,0.3036886743158057,0.2703239546113864,0.6772082147767592,0.8722013354064521,0.5308555447776008,8.54459383,0.06212765116040639
Andorra,AND,2009,37.0265105110991,6.08094168,3.14292,,,43975.0183668093,High income,0.34284017588265175,0.29877176736070565,0.6059619603296696,0.8644103346715821,0.5279960595611524,9.223861679999999,0.05724240864387641
Andorra,AND,2010,38.3349616907492,7.67537737,2.97663,,,42746.8309526019,High income,0.3186366620139175,0.40932662171112116,0.5889956397994125,0.8469365114826156,0.5409738587517667,10.65200737,0.05078609504865248
Andorra,AND,2011,39.2481203007519,7.62060833,2.98706,,,46657.1561173756,High income,0.32015474878793215,0.4055290503960234,0.6430133160560088,0.8347416567239256,0.5508596929909725,10.60766833,0.05193032774535971
Andorra,AND,2013,39.4617752884009,6.79964209,2.50616,,,42470.3161159692,High income,0.2501597411538332,0.3486049589076999,0.5851758324187045,0.831888382917701,0.5039572288494846,9.30580209,0.05415516298063508
Andorra,AND,2014,39.5371281507834,6.77308035,3.07421,,,44369.659691379,High income,0.3328394335775177,0.34676322310398516,0.611413580440478,0.83088207667217,0.5304745784485377,9.84729035,0.05387010635352473
Andorra,AND,2015,39.3616405028095,6.91586447,3.28035,,,38654.9347203095,High income,0.36284311599318236,0.35666357699668577,0.5324697201795414,0.8332256414762947,0.521300513661426,10.19621447,0.05112686823087452
Andorra,AND,2016,39.1038735787242,6.90521765,3.23707,,,40129.8192007698,High income,0.3565437108561398,0.35592534864305736,0.5528439420215231,0.8366680119105014,0.5254952533578054,10.14228765,0.05181230029083285
Andorra,AND,2017,38.7983591750715,7.07142639,3.21709,,,40672.9943348258,High income,0.3536356213312296,0.3674499169638192,0.5603474250582767,0.840748030144378,0.5305452483744258,10.28851639,0.051566739874185676
Andorra,AND,2018,38.3256344663857,7.37541723,3.24672,,,42819.7745797624,High income,0.35794826860966245,0.3885280095145827,0.5900032913554605,0.8470610726981248,0.5458851605444576,10.62213723,0.05139127359442499
Andorra,AND,2019,38.0123080254823,7.323246,3.15162,,,41257.8045846483,High income,0.3441064611112162,0.3849105649414924,0.5684260603162934,0.8512454174516206,0.5371721259551556,10.474866,0.05128200455787746
Argentina,ARG,2000,60.8399424011737,8.22001076,4.58031,0.438840001821518,23.4222563056389,7637.01489203628,Upper middle income,0.5520523281454451,0.44709036814721786,0.10398465031101327,0.5463918217600545,0.41237979209093273,12.800320759999998,0.032216363935159135
Argentina,ARG,2001,60.442088771688,8.37179852,4.83374,0.424609988927841,22.8402715311037,7141.47507662826,Upper middle income,0.5889390713035023,0.45761501571012836,0.09713920698008427,0.5517049920829862,0.4238495715191753,13.205538520000001,0.03209634888249716
Argentina,ARG,2002,60.0100181534326,7.3933115,4.01734,0.388859987258911,19.678291491537,2569.69963519124,Upper middle income,0.4701120298552213,0.3897687609766608,0.0339841814241227,0.5574751161089825,0.36283502209124685,11.4106515,0.03179792337810394
Argentina,ARG,2003,59.5157720560259,6.89451647,3.53505,0.410129994153976,16.2280570401266,3320.47775133903,Upper middle income,0.3999147076846047,0.35518335108009663,0.04435551565073698,0.5640755678891023,0.3408822855761352,10.429566470000001,0.032684223889522336
Argentina,ARG,2004,58.9908808603745,7.22868252,3.48652,0.403759986162186,16.5557606385361,4242.02099089422,Upper middle income,0.39285116490963523,0.37835372992842986,0.05708581870051624,0.571085272254771,0.3498439964483381,10.71520252,0.03264931258138629
Argentina,ARG,2005,58.4885317167095,7.61078882,3.86001,0.420740008354187,17.4505649644846,5067.65342293276,Upper middle income,0.4472126442218822,0.40484818599700684,0.06849119895445867,0.5777939368591916,0.37458649150813483,11.470798819999999,0.03265565871968931
