Country,ISO3,Year,Dependency_Ratio,Health_Expenditure,Education_perGDP,RD_Expenditure,Contribution_revenue,GDP_percapita,income_level,edu_index,health_index,gdp_index,demo_index,rd_index,contrib_index,PSP,gov_spending,PSE
Argentina,ARG,2000,60.8399424011737,8.22001076,4.58031,0.438840001821518,23.4222563056389,7637.01489203628,Upper middle income,0.49255903008824625,0.4334800367947764,0.10325275033283676,0.47613042036212894,0.10487823875590446,0.40899174412842015,0.33654870341038556,12.800320759999998,0.0262922085876218
Argentina,ARG,2001,60.442088771688,8.37179852,4.83374,0.424609988927841,22.8402715311037,7141.47507662826,Upper middle income,0.5395328750187669,0.44426375732810863,0.09640171537914566,0.4846794140343411,0.10128836387384325,0.398807512157645,0.34416227296530844,13.205538520000001,0.02606196426174284
Argentina,ARG,2002,60.0100181534326,7.3933115,4.01734,0.388859987258911,19.678291491537,2569.69963519124,Upper middle income,0.38821122011888504,0.37474741049505095,0.03319510235669461,0.49396365504073614,0.09226953627446953,0.34347558661779526,0.2876437518172719,11.4106515,0.02520835482682754
Argentina,ARG,2003,59.5157720560259,6.89451647,3.53505,0.410129994153976,16.2280570401266,3320.47775133903,Upper middle income,0.2988176373877923,0.3393106519123102,0.043574908290067875,0.5045839094410978,0.09763542484142866,0.283099457302752,0.26117033152924146,10.429566470000001,0.025041341102766033
Argentina,ARG,2004,58.9908808603745,7.22868252,3.48652,0.403759986162186,16.5557606385361,4242.02099089422,Upper middle income,0.28982248805867517,0.3630513889449106,0.05631560994354019,0.5158626591562236,0.09602843180079572,0.2888339878435647,0.26831909429128503,10.71520252,0.025040972747875326
Argentina,ARG,2005,58.4885317167095,7.61078882,3.86001,0.420740008354187,17.4505649644846,5067.65342293276,Upper middle income,0.35904973559487907,0.3901980281286337,0.06773030655301364,0.5266570300809903,0.10031206496538629,0.30449229236053516,0.29140657628057304,11.470798819999999,0.025404209493456453
Argentina,ARG,2006,58.0003526705021,7.64032793,4.12821,0.452160000801086,19.433826752701,5869.38028970204,Upper middle income,0.4087612346690442,0.3922966262438134,0.07881449921879774,0.5371469169831873,0.10823853998142755,0.33919766438010585,0.31074258024606266,11.76853793,0.026404518734134942
Argentina,ARG,2007,57.5050434620378,7.83455086,4.4626,0.460070013999939,26.4020495129493,7185.25155147027,Upper middle income,0.470741205494585,0.40609514200216523,0.09700694254751163,0.5477900152865093,0.11023403766027734,0.4611355571215101,0.3488338166854264,12.29715086,0.0283670437694725
Argentina,ARG,2008,57.0741876732807,8.1826973,4.84441,0.470550000667572,24.02195439319,8944.1102657357,Upper middle income,0.5415105845456921,0.43082911207744967,0.12132386352007739,0.5570481522965496,0.112877875103263,0.41948594381075427,0.36384592189229764,13.027107299999999,0.02792990903608337
Argentina,ARG,2009,56.735685768345,9.45599556,5.53105,0.583980023860931,28.9770737481959,8150.23527028221,Upper middle income,0.6687809190881405,0.5212902440647589,0.11034822609680607,0.5643218088095436,0.1414934212855434,0.5061962619536311,0.418738480216404,14.987045559999999,0.02794002850928839
